EmployeeID,Total Hours Worked,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
1,1844.8000000000002,3,3,51,0,2,2,6,2,1,0,1,0,1,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0
2,1928.1999999999998,2,4,31,1,1,1,10,1,1,0,1,6,2,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0
3,1739.1999999999998,3,3,32,0,1,1,17,4,4,1,4,7,1,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0
4,1794.8000000000002,2,3,38,0,0,1,2,5,1,1,3,1,1,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0
5,2003.6,3,3,32,0,2,1,10,1,3,1,1,7,2,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0
6,2684.1999999999994,3,3,46,0,2,1,8,3,1,0,4,5,1,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0
7,1736.8000000000002,3,4,28,1,2,1,11,2,3,1,2,7,2,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0
8,1677.7999999999997,3,4,29,0,2,1,18,3,1,1,2,7,1,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0
9,1806.1999999999998,3,4,31,0,2,1,1,3,1,1,3,2,1,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0
10,1772.5999999999997,3,3,25,0,0,1,7,4,3,0,4,2,0,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0
11,2088.3999999999996,2,3,45,0,2,1,17,2,3,1,2,2,1,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0
12,1762.6000000000001,3,3,36,0,2,1,28,1,1,1,1,2,1,33770,0.0,12,2,16.0,2,15,10,11,3.0,4.0,3.0
13,2307.000000000001,3,3,55,0,2,1,14,4,1,0,1,7,2,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0
14,2349.8,2,3,47,1,0,1,1,1,3,1,1,6,1,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0
15,1522.0000000000002,3,3,28,0,2,1,1,3,1,1,1,4,1,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0
16,1653.6000000000001,3,3,37,0,2,1,1,3,1,1,2,0,1,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0
17,1645.9999999999993,2,3,21,0,2,1,3,2,1,1,1,2,2,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0
18,2735.8,3,3,37,0,0,1,1,3,3,1,2,7,0,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0
19,1724.0,2,3,35,0,2,2,7,4,1,1,1,8,0,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0
20,2315.8000000000006,3,3,38,0,2,1,8,3,1,0,1,3,0,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0
