Attrition,Total Hours Worked,Age,Department,EducationField,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
0,1844.8,51.0,2.0,1.0,1.0,131160.0,1.0,11.0,1.0,6.0,1.0,0.0,0.0,3.0,4.0,2.0
1,1928.2,31.0,1.0,1.0,2.0,41890.0,0.0,23.0,6.0,3.0,5.0,1.0,4.0,3.0,2.0,4.0
0,1739.1999999999998,32.0,1.0,4.0,1.0,193280.0,1.0,15.0,5.0,2.0,5.0,0.0,3.0,2.0,2.0,1.0
0,1794.8000000000002,38.0,1.0,1.0,1.0,83210.0,3.0,11.0,13.0,5.0,8.0,7.0,5.0,4.0,4.0,3.0
0,2003.6,32.0,1.0,3.0,2.0,23420.0,4.0,12.0,9.0,2.0,6.0,0.0,4.0,4.0,1.0,3.0
0,2684.2,46.0,1.0,1.0,1.0,40710.0,3.0,13.0,28.0,5.0,7.0,7.0,7.0,3.0,2.0,2.0
1,1736.8000000000002,28.0,1.0,3.0,2.0,58130.0,2.0,20.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0
0,1677.7999999999995,29.0,1.0,1.0,1.0,31430.0,2.0,22.0,10.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0
0,1806.2,31.0,1.0,1.0,1.0,20440.0,0.0,21.0,10.0,2.0,9.0,7.0,8.0,2.0,4.0,3.0
0,1772.5999999999997,25.0,1.0,3.0,0.0,134640.0,1.0,13.0,6.0,2.0,6.0,1.0,5.0,2.0,1.0,3.0
0,2088.4,45.0,1.0,3.0,1.0,79910.0,0.0,13.0,21.0,2.0,20.0,4.0,10.0,3.0,4.0,3.0
0,1762.6,36.0,1.0,1.0,1.0,33770.0,0.0,12.0,16.0,2.0,15.0,10.0,11.0,3.0,4.0,3.0
0,2307.000000000001,55.0,1.0,1.0,2.0,55380.0,0.0,17.0,37.0,2.0,36.0,4.0,13.0,4.0,1.0,3.0
1,2349.8,47.0,1.0,3.0,1.0,57620.0,1.0,11.0,10.0,4.0,10.0,9.0,9.0,1.0,2.0,2.0
0,1522.0000000000002,28.0,1.0,1.0,1.0,25920.0,1.0,14.0,5.0,2.0,5.0,0.0,4.0,4.0,4.0,2.0
0,1653.6,37.0,1.0,1.0,1.0,53460.0,4.0,11.0,7.0,2.0,5.0,0.0,1.0,3.0,4.0,4.0
0,1645.999999999999,21.0,1.0,1.0,2.0,42130.0,1.0,12.0,3.0,3.0,3.0,1.0,0.0,4.0,3.0,4.0
0,2735.8,37.0,1.0,3.0,0.0,41270.0,2.0,13.0,15.0,2.0,5.0,0.0,2.0,1.0,4.0,3.0
0,1724.0,35.0,2.0,1.0,0.0,24380.0,7.0,16.0,10.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0
0,2315.8000000000006,38.0,1.0,1.0,0.0,68700.0,1.0,11.0,8.0,5.0,8.0,7.0,7.0,1.0,1.0,3.0
0,1884.8000000000004,26.0,1.0,4.0,0.0,104470.0,1.0,18.0,6.0,3.0,6.0,1.0,4.0,3.0,2.0,1.0
0,1503.0,50.0,2.0,1.0,0.0,96670.0,3.0,23.0,28.0,2.0,10.0,1.0,6.0,1.0,2.0,2.0
0,2096.2,53.0,1.0,1.0,1.0,21480.0,3.0,11.0,21.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0
0,1705.6,42.0,1.0,1.0,1.0,89260.0,1.0,14.0,10.0,4.0,20.0,11.0,6.0,2.0,3.0,3.0
0,1773.0000000000002,29.0,1.0,3.0,2.0,65130.0,1.0,11.0,10.0,2.0,10.0,0.0,9.0,2.0,4.0,2.0
0,2330.0,55.0,1.0,4.0,1.0,67990.0,3.0,11.0,12.0,2.0,10.0,0.0,8.0,2.0,4.0,3.0
0,2734.6000000000004,26.0,1.0,1.0,1.0,162910.0,1.0,22.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0
0,1882.4,37.0,2.0,2.0,2.0,27050.0,1.0,11.0,17.0,2.0,17.0,5.0,7.0,4.0,4.0,3.0
1,2736.2000000000007,44.0,1.0,3.0,0.0,103330.0,3.0,14.0,19.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0
0,1699.5999999999997,38.0,2.0,2.0,0.0,44480.0,9.0,12.0,10.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0
1,2517.4000000000005,26.0,1.0,3.0,0.0,68540.0,2.0,11.0,5.0,5.0,3.0,0.0,2.0,1.0,2.0,3.0
0,1664.1999999999996,28.0,1.0,4.0,2.0,96370.0,1.0,13.0,5.0,6.0,5.0,0.0,2.0,4.0,4.0,3.0
0,2614.2000000000003,49.0,1.0,3.0,2.0,35910.0,9.0,13.0,22.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0
0,1540.6,36.0,2.0,5.0,2.0,54050.0,4.0,14.0,10.0,2.0,8.0,7.0,7.0,3.0,2.0,3.0
