Time,Time [s],CPU_Usage,Memory_Usage,Network_Usage,Temperature,,,Time Interval,LL,UL,Mean_CPU_Usage,Mean_Memory_Usage,Mean_Network_Usage,Mean_Temperature
09-07-2024 00:00,0,25,5,62.5,33.52395526,,,"[0,504)",0,504,56.73744179,9.349780392,138.8749496,45.46850444
09-07-2024 00:01,1,25.62392665,5.13873928,66.15357377,34.20139534,,,"[504,1008)",504,1008,60.54172505,10.89324992,158.5827166,47.95775863
09-07-2024 00:02,2,26.24768193,5.277392196,69.80289246,35.004666,,,"[1008,1512)",1008,1512,34.28792676,6.038652675,105.0942139,39.58218349
09-07-2024 00:03,3,26.87109453,5.415872446,73.44370616,34.68373675,,,"[1512,2016)",1512,2016,55.24359306,9.291445879,136.1718947,45.11408183
09-07-2024 00:04,4,27.49399326,5.554093843,77.07177534,36.08061095,,,"[2016,2520)",2016,2520,33.03555139,6.00614633,96.70054311,38.57193549
09-07-2024 00:05,5,28.11620704,5.691970378,80.68287596,36.86546446,,,"[2520,3024)",2520,3024,36.95369863,5.820927279,94.69686254,38.74557857
09-07-2024 00:06,6,28.73756505,5.829416277,84.27280464,37.58005001,,,"[3024,3528)",3024,3528,49.13307631,9.262582222,148.9254346,45.7361016
09-07-2024 00:07,7,29.35789669,5.966346062,87.83738381,37.36437247,,,"[3528,4032)",3528,4032,30.7963478,5.667672907,96.34928,38.29694074
09-07-2024 00:08,8,29.97703168,6.102674606,91.37246671,38.6884098,,,"[4032,4536)",4032,4536,37.37749538,6.106723671,101.3415406,39.48886891
09-07-2024 00:09,9,30.59480012,6.238317194,94.87394253,38.15318412,,,"[4536,5040)",4536,5040,49.43975429,9.172829202,135.3441723,44.43589847
09-07-2024 00:10,10,31.2110325,6.373189579,98.33774136,37.9638022,,,"[5040,5544)",5040,5544,30.80624664,4.719686107,91.33478563,37.6794292
09-07-2024 00:11,11,31.82555978,6.50720804,101.7598392,38.98128377,,,"[5544,6048)",5544,6048,39.20567424,7.263300393,121.9168171,41.85843149
09-07-2024 00:12,12,32.43821345,6.640289442,105.1362627,39.31864012,,,"[6048,6552)",6048,6552,48.46378996,8.560533866,136.9972784,44.39594107
09-07-2024 00:13,13,33.04882555,6.772351287,108.4630942,40.08650592,,,"[6552,7056)",6552,7056,31.29152026,4.575824315,74.11412868,36.00620485
09-07-2024 00:14,14,33.65722875,6.903311776,111.7364765,40.36501471,,,"[7056,7560)",7056,7560,42.12500832,7.792545252,115.3835394,41.53957041
09-07-2024 00:15,15,34.26325638,7.033089863,114.9526173,40.72453357,,,"[7560,8064)",7560,8064,49.66807075,7.979418753,120.0952022,42.76190759
09-07-2024 00:16,16,34.86674249,7.161605308,118.1077942,41.49706928,,,"[8064,8568)",8064,8568,25.65194506,4.395172455,90.17378744,37.0111373
09-07-2024 00:17,17,35.4675219,7.288778735,121.1983587,41.1804868,,,"[8568,9072)",8568,9072,47.61496671,8.675780113,135.6689524,44.18576553
09-07-2024 00:18,18,36.06543026,7.414531686,124.2207413,42.03943259,,,"[9072,9576)",9072,9576,44.22188142,7.581722011,115.3662901,41.7411006
09-07-2024 00:19,19,36.66030406,7.538786672,127.1714553,42.27748786,,,"[9576,10080)",9576,10080,25.58283476,4.792707987,88.02819735,36.82919834
09-07-2024 00:20,20,37.25198073,7.661467228,130.0471013,42.55302765,,,,,,,,,
09-07-2024 00:21,21,37.84029867,7.782497967,132.8443713,42.81386439,,,,,,,,,
09-07-2024 00:22,22,38.42509728,7.901804626,135.5600528,42.55305519,,,,,,,,,
09-07-2024 00:23,23,39.00621704,8.019314122,138.1910323,43.39470003,,,,,,,,,
09-07-2024 00:24,24,39.58349953,8.134954601,140.7342999,43.75037847,,,,,,,,,
09-07-2024 00:25,25,40.1567875,8.248655484,143.1869521,43.79787717,,,,,,,,,
09-07-2024 00:26,26,40.7259249,8.360347518,145.5461959,43.78430432,,,,,,,,,
09-07-2024 00:27,27,41.29075695,8.469962824,147.8093518,44.47874481,,,,,,,,,
09-07-2024 00:28,28,41.85113016,8.577434941,149.9738576,44.8035296,,,,,,,,,
09-07-2024 00:29,29,42.40689238,8.682698871,152.037271,44.64253009,,,,,,,,,
09-07-2024 00:30,30,42.95789288,8.785691126,153.9972726,44.90340657,,,,,,,,,
09-07-2024 00:31,31,83.50398235,8.886349772,155.8516692,48.77822929,,,,,,,,,
09-07-2024 00:32,32,80.23850969,8.984614465,157.5983959,49.82968859,,,,,,,,,
09-07-2024 00:33,33,77.33006857,9.080426501,159.2355191,50.05361982,,,,,,,,,
09-07-2024 00:34,34,74.74404291,9.173728848,160.7612384,49.47595214,,,,,,,,,
09-07-2024 00:35,35,85.63629676,9.264466192,162.1738891,50.50530788,,,,,,,,,
09-07-2024 00:36,36,82.34914177,9.352584968,163.4719441,49.82236265,,,,,,,,,
09-07-2024 00:37,37,79.41844935,9.438033402,164.6540158,49.24861032,,,,,,,,,
09-07-2024 00:38,38,76.80961013,9.520761544,165.7188578,50.18843622,,,,,,,,,
09-07-2024 00:39,39,87.67849507,9.6007213,166.6653665,51.70229251,,,,,,,,,
09-07-2024 00:40,40,84.3674229,9.677866471,167.492582,50.7375829,,,,,,,,,
09-07-2024 00:41,41,81.41227223,9.752152777,168.1996898,51.46411634,,,,,,,,,
09-07-2024 00:42,42,78.77844111,9.823537893,168.7860217,50.39435603,,,,,,,,,
09-07-2024 00:43,43,76.4346099,9.891981473,169.2510564,51.10026392,,,,,,,,,
09-07-2024 00:44,44,74.35242917,9.957445183,169.59442,50.00003146,,,,,,,,,
09-07-2024 00:45,45,72.50623727,10.01989272,169.8158871,48.90273569,,,,,,,,,
09-07-2024 00:46,46,70.87280478,10.07928985,169.9153802,50.39992534,,,,,,,,,
09-07-2024 00:47,47,69.43110328,10.13560441,200,52.49524748,,,,,,,,,
09-07-2024 00:48,48,68.16209617,10.18880635,200,52.06385826,,,,,,,,,
09-07-2024 00:49,49,52.33337165,10.23886774,200,51.49802045,,,,,,,,,
09-07-2024 00:50,50,52.76001639,10.28576281,200,50.8598929,,,,,,,,,
09-07-2024 00:51,51,53.17913229,10.32946792,200,50.64441007,,,,,,,,,
09-07-2024 00:52,52,53.59060993,10.36996165,200,52.05176176,,,,,,,,,
09-07-2024 00:53,53,53.99434219,16,200,51.8970602,,,,,,,,,
09-07-2024 00:54,54,54.39022428,16,200,51.32147622,,,,,,,,,
09-07-2024 00:55,55,54.7781538,15.71186983,200,51.81743839,,,,,,,,,
09-07-2024 00:56,56,55.15803076,15.2407074,200,53.10615536,,,,,,,,,
09-07-2024 00:57,57,55.52975757,14.81371138,163.0852943,48.39905659,,,,,,,,,
09-07-2024 00:58,58,55.89323914,14.426358,161.7686548,47.88790245,,,,,,,,,
09-07-2024 00:59,59,56.24838285,14.07455548,160.3423323,48.31721536,,,,,,,,,
09-07-2024 01:00,60,56.5950986,13.75460308,158.8082546,47.6886262,,,,,,,,,
09-07-2024 01:01,61,56.93329885,13.46315417,157.1684802,47.50178957,,,,,,,,,
09-07-2024 01:02,62,57.26289861,13.19718272,155.4251964,47.2603435,,,,,,,,,
09-07-2024 01:03,63,57.58381552,10.59952455,153.5807163,47.60338012,,,,,,,,,
09-07-2024 01:04,64,57.89596982,10.60061717,151.6374762,47.11078352,,,,,,,,,
09-07-2024 01:05,65,58.1992844,10.59842238,149.5980323,47.55069583,,,,,,,,,
09-07-2024 01:06,66,58.49368482,10.59295007,147.465058,46.80861195,,,,,,,,,
09-07-2024 01:07,67,58.77909933,10.58421236,145.2413401,47.22426537,,,,,,,,,
09-07-2024 01:08,68,59.05545892,10.5722236,142.929776,46.58078917,,,,,,,,,
09-07-2024 01:09,69,59.32269727,10.55700034,140.5333697,45.91133258,,,,,,,,,
09-07-2024 01:10,70,59.58075086,10.53856136,138.0552285,45.74976626,,,,,,,,,
09-07-2024 01:11,71,59.8295589,10.51692762,135.4985587,46.49844059,,,,,,,,,
09-07-2024 01:12,72,60.06906344,10.49212226,132.8666625,45.99469345,,,,,,,,,
09-07-2024 01:13,73,60.29920929,10.46417058,130.1629331,45.86601021,,,,,,,,,
09-07-2024 01:14,74,60.51994412,10.43310002,127.390851,44.33066441,,,,,,,,,
09-07-2024 01:15,75,60.73121842,10.39894015,124.5539799,43.63082942,,,,,,,,,
09-07-2024 01:16,76,60.93298556,10.36172266,121.6559621,43.8734837,,,,,,,,,
09-07-2024 01:17,77,61.12520175,16,118.7005139,44.66531278,,,,,,,,,
09-07-2024 01:18,78,61.30782611,16,115.6914215,43.97714355,,,,,,,,,
09-07-2024 01:19,79,61.48082064,15.47194911,112.6325363,43.97223487,,,,,,,,,
09-07-2024 01:20,80,100,14.92421898,109.5277697,47.21959371,,,,,,,,,
09-07-2024 01:21,81,97.99127948,14.42107225,106.3810891,45.99699449,,,,,,,,,
09-07-2024 01:22,82,94.69091904,13.95803709,103.1965124,46.39899478,,,,,,,,,
09-07-2024 01:23,83,91.70857125,13.53107329,99.97810348,45.53720849,,,,,,,,,
09-07-2024 01:24,84,89.01302174,13.13653137,96.72996719,45.55262824,,,,,,,,,
09-07-2024 01:25,85,86.5760273,12.77111552,93.4562442,44.36026658,,,,,,,,,
09-07-2024 01:26,86,84.37203345,12.43185012,90.1611061,44.08782399,,,,,,,,,
09-07-2024 01:27,87,82.37791883,9.761620947,86.84875023,42.48919351,,,,,,,,,
09-07-2024 01:28,88,80.57276393,9.690914943,83.52339463,42.55221144,,,,,,,,,
09-07-2024 01:29,89,78.93764189,9.617742833,80.18927282,42.27875529,,,,,,,,,
09-07-2024 01:30,90,62.74025149,9.542162847,76.85062871,40.191487,,,,,,,,,
09-07-2024 01:31,91,62.79579067,9.464234848,77.00166106,39.81289452,,,,,,,,,
09-07-2024 01:32,92,62.84147339,9.384020296,77.15241732,40.11301601,,,,,,,,,
09-07-2024 01:33,93,62.87730296,15.7015822,77.30289461,40.89955142,,,,,,,,,
09-07-2024 01:34,94,62.90328564,15.00794456,77.45309008,41.13712631,,,,,,,,,
09-07-2024 01:35,95,62.91943069,14.37017175,77.60300087,40.20870259,,,,,,,,,
09-07-2024 01:36,96,100,13.78281575,197.7526241,55.59513392,,,,,,,,,
09-07-2024 01:37,97,99.11575636,13.24095479,186.4824471,54.46825997,,,,,,,,,
09-07-2024 01:38,98,95.65820696,12.74014332,176.298687,53.54240448,,,,,,,,,
09-07-2024 01:39,99,92.51865179,12.27636679,167.0979266,52.19149007,,,,,,,,,
09-07-2024 01:40,100,89.66592386,11.84600073,158.7865903,51.34351021,,,,,,,,,
09-07-2024 01:41,101,87.07182736,11.44577364,151.2800069,50.39514916,,,,,,,,,
09-07-2024 01:42,102,84.71085512,11.07273351,144.5015625,48.08591268,,,,,,,,,
09-07-2024 01:43,103,82.55993309,8.369789037,138.3819336,47.69062899,,,,,,,,,
09-07-2024 01:44,104,80.59818901,8.267449327,132.8583937,47.27852009,,,,,,,,,
09-07-2024 01:45,105,78.80674318,8.163746546,127.8741851,47.04205691,,,,,,,,,
09-07-2024 01:46,106,62.45334147,8.058759597,79.23241799,39.94776163,,,,,,,,,
09-07-2024 01:47,107,100,7.952568247,79.37869154,44.41585195,,,,,,,,,
09-07-2024 01:48,108,98.43716274,7.845253072,79.52464374,43.8563958,,,,,,,,,
09-07-2024 01:49,109,94.87393327,7.7368954,79.67027182,43.4184981,,,,,,,,,
09-07-2024 01:50,110,91.62912189,7.627577256,79.815573,42.85211511,,,,,,,,,
09-07-2024 01:51,111,88.67159329,7.517381307,79.96054451,42.6026465,,,,,,,,,
09-07-2024 01:52,112,85.97318318,7.406390804,80.1051836,42.51386704,,,,,,,,,
09-07-2024 01:53,113,83.50841576,7.294689524,80.24948752,42.00756938,,,,,,,,,
09-07-2024 01:54,114,81.2542482,7.182361713,80.39345351,42.43928714,,,,,,,,,
09-07-2024 01:55,115,79.18983928,7.069492029,80.53707883,42.11942991,,,,,,,,,
09-07-2024 01:56,116,77.29634017,6.956165484,80.68036076,42.09228413,,,,,,,,,
09-07-2024 01:57,117,60.8415274,6.842467384,80.82329656,39.33078016,,,,,,,,,
09-07-2024 01:58,118,60.64067637,6.72848327,80.9658835,39.29713368,,,,,,,,,
09-07-2024 01:59,119,60.43107818,6.614298863,81.10811889,40.05930178,,,,,,,,,
09-07-2024 02:00,120,60.21281292,6.5,81.25,39.75597314,,,,,,,,,
09-07-2024 02:01,121,59.98596328,6.511321931,81.39152414,39.91830129,,,,,,,,,
09-07-2024 02:02,122,59.75061452,6.522615089,81.53268861,39.22188178,,,,,,,,,
09-07-2024 02:03,123,59.50685447,6.533879258,81.67349073,39.0424389,,,,,,,,,
09-07-2024 02:04,124,59.25477345,6.545114225,81.81392781,39.87767158,,,,,,,,,
09-07-2024 02:05,125,58.99446429,6.556319774,81.95399718,39.37053571,,,,,,,,,
09-07-2024 02:06,126,58.72602229,6.567495694,82.09369618,40.09577438,,,,,,,,,
09-07-2024 02:07,127,58.44954518,6.578641771,82.23302214,39.41843524,,,,,,,,,
09-07-2024 02:08,128,58.16513308,6.589757793,82.37197241,39.26894994,,,,,,,,,
09-07-2024 02:09,129,57.87288851,6.600843548,82.51054435,38.56510152,,,,,,,,,
09-07-2024 02:10,130,57.57291631,6.611898825,82.64873531,40.30712831,,,,,,,,,
09-07-2024 02:11,131,57.26532364,6.622923414,82.78654268,40.0162542,,,,,,,,,
09-07-2024 02:12,132,56.95021994,6.633917105,82.92396381,38.90296136,,,,,,,,,
09-07-2024 02:13,133,56.62771689,6.644879689,83.06099611,38.63463109,,,,,,,,,
09-07-2024 02:14,134,56.29792839,6.655810956,83.19763695,39.3165993,,,,,,,,,
09-07-2024 02:15,135,55.96097049,6.666710699,83.33388374,40.06981701,,,,,,,,,
09-07-2024 02:16,136,55.61696141,6.67757871,83.46973388,39.31288538,,,,,,,,,
09-07-2024 02:17,137,55.26602144,6.688414783,83.60518479,39.45240379,,,,,,,,,
09-07-2024 02:18,138,54.90827296,6.699218711,83.74023388,40.03006568,,,,,,,,,
09-07-2024 02:19,139,54.54384037,6.709990288,83.8748786,39.01873687,,,,,,,,,
09-07-2024 02:20,140,54.17285006,6.720729309,84.00911636,39.1492114,,,,,,,,,
09-07-2024 02:21,141,53.79543036,6.73143557,84.14294463,39.57677393,,,,,,,,,
09-07-2024 02:22,142,53.41171155,6.742108867,84.27636084,39.30292214,,,,,,,,,
09-07-2024 02:23,143,53.02182573,6.752748997,84.40936246,38.97979724,,,,,,,,,
09-07-2024 02:24,144,52.62590686,6.763355757,84.54194696,39.7467457,,,,,,,,,
09-07-2024 02:25,145,52.22409069,6.773928945,84.67411181,39.62613187,,,,,,,,,
09-07-2024 02:26,146,51.81651471,6.78446836,84.8058545,39.75677245,,,,,,,,,
09-07-2024 02:27,147,51.40331813,6.794973802,84.93717252,39.23689534,,,,,,,,,
09-07-2024 02:28,148,50.9846418,6.805445069,85.06806337,38.40537136,,,,,,,,,
09-07-2024 02:29,149,50.56062822,6.815881964,85.19852455,39.2628808,,,,,,,,,
09-07-2024 02:30,150,50.13142144,6.826284287,85.32855359,38.64272716,,,,,,,,,
09-07-2024 02:31,151,49.69716705,6.83665184,85.458148,38.18573452,,,,,,,,,
